Material 1,Material 2,Material 3,Material 4,Material 5,Thickness 1 (m),Thickness 2 (m),Thickness 3 (m),Thickness 4 (m),Thickness 5 (m),Total Thickness (m),Max Reflection (dB)
12,10,10,10,10,0.002794943111264041,0.002290982962370511,0.0019043361603773485,0.0013999612576736148,0.0038299049888946934,0.01222012848058021,-2.138472211288064
5,9,10,10,5,0.0003126526293870274,0.00025468198192491365,0.00027574141300043954,0.0006485494751582361,0.000566436852248658,0.0020580623517192746,-1.1899428143551574
10,10,10,10,10,0.00034028654580785017,0.0002778114392508234,0.003666018327574456,0.0003971890257779039,0.00382705391147595,0.008508359249886983,-2.8694642792217384
5,10,12,10,10,0.0003128774926845413,0.0015736227442157507,0.0018750034729308226,0.00040977703139874147,0.0038396419170967882,0.008010922658326645,-2.314588301100943
10,2,10,10,10,0.00034398741604337767,0.00025077478726563435,0.003146876247226467,0.00040111943853118426,0.003640732724475922,0.007783490613542585,-1.662812980279801
10,10,10,10,10,0.0003405602388630206,0.001972791151020827,0.0019017587760137764,0.00039746271883307435,0.00382732760453112,0.008439900489261819,-1.4919231961408306
12,7,10,2,11,0.0027845641794030304,0.0034895423126696723,0.002302521291736567,0.0038501079953845363,0.003797826749574432,0.016224562528768235,-0.6643165362304265
10,10,10,6,10,0.003014744986879845,0.002203345552157842,0.0031257670421998627,0.0038444083370189333,0.0038125122499850102,0.01600077816824149,-2.7492602553644874
12,10,10,2,10,0.0003187654045606584,0.0019800836533477506,0.0008557689853519647,0.0003680293270627437,0.003834822090055816,0.007357469460378933,-2.445639722940368
12,10,10,10,10,0.000316929503471913,0.0002887051266187022,0.0029119829489490795,0.0004080827131457827,0.0021751628725880526,0.00610086316477353,-2.540668759247435
10,10,10,10,12,0.00033238479562275466,0.0021920736356590607,0.0036581165773893606,0.0038714660535374883,0.0025240426047203994,0.012578083666929064,-2.513697679767602
12,10,10,2,10,0.0003187654045606584,0.0019800836533477506,0.0008557689853519647,0.0003680293270627437,0.003834822090055816,0.007357469460378933,-2.2605631434974334
4,10,10,5,6,0.0015640150244062671,0.0002988975492365651,0.0002759444831135013,0.00036962126051049175,0.003800562843878184,0.006309041161145009,-2.822192321476604
12,10,10,10,10,0.0034868554676206883,0.0019708346534349974,0.003664335523043796,0.001528571537183059,0.00382537110694529,0.014475968288227831,-2.0827449113995584
5,10,7,10,10,0.000372212380646332,0.003742357964635475,0.0009422918723759227,0.0006393574134182535,0.0006121918727578304,0.006308411503833814,-2.532517263211262
12,10,10,2,10,0.0003187654045606584,0.0019800836533477506,0.0008557689853519647,0.0003680293270627437,0.003834822090055816,0.007357469460378933,-2.8659933186904922
12,10,10,10,10,0.000316929503471913,0.0002887051266187022,0.0029119829489490795,0.0004080827131457827,0.0021751628725880526,0.00610086316477353,-1.0776603340866981
5,9,10,10,5,0.0003126526293870274,0.00025468198192491365,0.00027574141300043954,0.0006485494751582361,0.000566436852248658,0.0020580623517192746,-2.996007544410584
10,10,10,10,10,0.00033339018703332923,0.0025665638256498063,0.003136049475698665,0.00039029266700338296,0.0038201575527014283,0.010246453708086611,-1.3113325068397208
12,10,10,12,10,0.0015916837716822964,0.00028375105953654274,0.0036719579478601753,0.00036860148936857244,0.0038336626536077827,0.00974965692205537,-2.8049492178194675
10,10,10,10,10,0.00033339018703332923,0.0025665638256498063,0.003136049475698665,0.00039029266700338296,0.0038201575527014283,0.010246453708086611,-2.389467143446002
10,7,10,5,10,0.0004175295283008027,0.00026044743202459955,0.0019194406639773513,0.00036900766289385626,0.0006121255049703949,0.0035785507921670045,-2.313373553716476
9,10,10,10,1,0.00031665528636308,0.003647504200007645,0.001894428086441628,0.0004061574394141399,0.0037971294438933,0.010061874456119793,-1.3870353280238286
10,9,10,10,10,0.001929026429947609,0.0034780720057018036,0.0036650213215994754,0.0008262711371314811,0.0022031917284974635,0.012101582622877834,-3.305749732936893
10,10,3,5,10,0.00035428638017800994,0.0002918112736209832,0.00022658378656961297,0.0005998453280410421,0.0038415071870313215,0.0053140339554409695,-2.143784197906153
10,10,10,10,10,0.0008791781939890761,0.00028615582976358495,0.0028592651843504418,0.0016635460191552,0.0006678151821207478,0.0063559604093790505,-1.2912104582254655
12,10,10,12,10,0.0015916837716822964,0.00028375105953654274,0.0036719579478601753,0.00036860148936857244,0.0038336626536077827,0.00974965692205537,-1.7757778077733022
12,10,10,10,10,0.002794943111264041,0.002290982962370511,0.0019043361603773485,0.0013999612576736148,0.0038299049888946934,0.01222012848058021,-3.0530063582375924
10,10,3,5,10,0.00035428638017800994,0.0002918112736209832,0.00022658378656961297,0.0005998453280410421,0.0038415071870313215,0.0053140339554409695,-0.7611723778780974
10,7,10,5,11,0.0003608807579233965,0.00026129340345635254,0.000275484987389953,0.0013917282952256517,0.0037977266341250454,0.006087114078120399,-2.4005408063403895
10,2,10,10,10,0.00034398741604337767,0.00025077478726563435,0.003146876247226467,0.00040111943853118426,0.003640732724475922,0.007783490613542585,-3.1255415415661942
10,9,10,10,10,0.001929026429947609,0.0034780720057018036,0.0036650213215994754,0.0008262711371314811,0.0022031917284974635,0.012101582622877834,-3.6326329943121745
12,10,10,12,10,0.0015916837716822964,0.00028375105953654274,0.0036719579478601753,0.00036860148936857244,0.0038336626536077827,0.00974965692205537,-2.492733125888019
10,10,10,6,10,0.003014744986879845,0.002203345552157842,0.0031257670421998627,0.0038444083370189333,0.0038125122499850102,0.01600077816824149,-3.0554281786003274
6,10,10,10,10,0.002783135116200005,0.001970660137311911,0.00366416100692071,0.0013952528596011256,0.0020463748553857823,0.011859583975419533,-2.4888438203948287
12,10,10,10,10,0.0027912668381790714,0.0002864771875089741,0.0007167987313920987,0.0030709384679932605,0.0038357196597341007,0.010701200884807506,-2.6598484889736547
10,10,10,10,10,0.00033339018703332923,0.0025665638256498063,0.003136049475698665,0.00039029266700338296,0.0038201575527014283,0.010246453708086611,-3.1872808863797104
5,9,10,10,5,0.0003126526293870274,0.00025468198192491365,0.00027574141300043954,0.0006485494751582361,0.000566436852248658,0.0020580623517192746,-2.011912951256068
10,10,10,10,10,0.0008791781939890761,0.00028615582976358495,0.0028592651843504418,0.0016635460191552,0.0006678151821207478,0.0063559604093790505,-1.226030767884468
9,10,10,10,1,0.00031665528636308,0.003647504200007645,0.001894428086441628,0.0004061574394141399,0.0037971294438933,0.010061874456119793,-3.4355465754948415
5,10,12,10,10,0.0003128774926845413,0.0015736227442157507,0.0018750034729308226,0.00040977703139874147,0.0038396419170967882,0.008010922658326645,-3.2499690407521307
12,10,10,2,10,0.0003187654045606584,0.0019800836533477506,0.0008557689853519647,0.0003680293270627437,0.003834822090055816,0.007357469460378933,-2.011078207389158
10,7,10,5,11,0.0003608807579233965,0.00026129340345635254,0.000275484987389953,0.0013917282952256517,0.0037977266341250454,0.006087114078120399,-2.3560303255386383
11,10,10,10,10,0.00032308299966497486,0.0018527855875143384,0.003661684756758985,0.00039285545496243286,0.003822720340660479,0.01005312913956121,-1.6344936640377214
10,10,10,10,10,0.0003405602388630206,0.001972791151020827,0.0019017587760137764,0.00039746271883307435,0.00382732760453112,0.008439900489261819,-0.29804516741714204
10,10,10,10,10,0.0028114085559975644,0.001975356778698001,0.0009151593773869742,0.001399949500987217,0.0006929555052987865,0.007794829718368544,-1.5198060083214726
12,10,10,9,10,0.000570771390990255,0.003509813717809227,0.001749554005028984,0.003849433611486518,0.000600345783851815,0.010279918509166798,-2.943769421226526
12,10,10,10,10,0.0027912668381790714,0.0002864771875089741,0.0007167987313920987,0.0030709384679932605,0.0038357196597341007,0.010701200884807506,-2.3926792997205433
5,10,12,5,2,0.0031641039241539705,0.0035196538520460502,0.0036357190264749654,0.0005990687977273817,0.002470016156298225,0.013388561756700593,-2.9066913030514185
10,10,10,10,10,0.0003405602388630206,0.001972791151020827,0.0019017587760137764,0.00039746271883307435,0.00382732760453112,0.008439900489261819,-2.00416719265554
9,10,10,10,1,0.00031665528636308,0.003647504200007645,0.001894428086441628,0.0004061574394141399,0.0037971294438933,0.010061874456119793,-3.031684095268306
10,10,10,10,10,0.0031196032346866706,0.0034827182550198447,0.0031202792262479285,0.0017846759912023308,0.003537678436834419,0.015044955143991193,-2.6056352232427606
5,9,10,10,5,0.0003126526293870274,0.00025468198192491365,0.00027574141300043954,0.0006485494751582361,0.000566436852248658,0.0020580623517192746,-0.2969887914359194
10,10,10,10,10,0.0003405602388630206,0.001972791151020827,0.0019017587760137764,0.00039746271883307435,0.00382732760453112,0.008439900489261819,-2.378844475196755
10,10,10,10,10,0.0028114085559975644,0.001975356778698001,0.0009151593773869742,0.001399949500987217,0.0006929555052987865,0.007794829718368544,-2.2422069475677175
10,10,10,10,10,0.0008791781939890761,0.00028615582976358495,0.0028592651843504418,0.0016635460191552,0.0006678151821207478,0.0063559604093790505,-1.8976542966960235
12,10,10,10,10,0.000316929503471913,0.0002887051266187022,0.0029119829489490795,0.0004080827131457827,0.0021751628725880526,0.00610086316477353,-1.768183972382398
10,10,10,10,10,0.00033339018703332923,0.0025665638256498063,0.003136049475698665,0.00039029266700338296,0.0038201575527014283,0.010246453708086611,-2.7009078959141455
