Material 1,Material 2,Material 3,Material 4,Material 5,Thickness 1 (m),Thickness 2 (m),Thickness 3 (m),Thickness 4 (m),Thickness 5 (m),Total Thickness (m),Max Reflection (dB)
38,40,40,39,38,-0.00014081024099306806,-0.0001430593363944234,7.72010020122206e-06,4.32816852560422e-05,0.00014868997240153478,-8.417781952869242e-05,-0.9169090611533236
19,23,40,39,38,0.00028950254604876433,7.370103333578832e-05,0.00010264712697044018,-0.00023352231078822779,0.0001373751491556817,0.0003697035447224467,-4.547520819735793
98,40,40,9,44,0.0003772107566918854,-1.0078677237011704e-05,-8.113811742661582e-05,0.0003138344556691997,0.0002831302454156524,0.0008829586631131101,-3.744273070252904
38,67,85,39,66,-0.00017585295648603474,0.0003753795959601858,0.00026501613746042176,0.00010342946499194092,0.00028138643253006234,0.000849358674456576,-1.6761987401919605
38,40,40,39,68,-0.00013411157852307254,-7.97226080700125e-05,4.67108817171413e-05,6.396487556668453e-05,0.0002814030367259656,0.00017824460741670638,-1.6905692487353576
38,47,39,39,52,-0.00016083003538573069,7.792655997857597e-05,2.994865480447439e-05,-0.0001032067750650295,0.0002810900551969886,0.00012492845952927876,-2.5570674245331286
98,40,40,9,44,0.0003772107566918854,-1.0078677237011704e-05,-8.113811742661582e-05,0.0003138344556691997,0.0002831302454156524,0.0008829586631131101,-5.221564911218918
2,40,40,39,37,0.00018522592494237358,1.1279092910089739e-05,-3.936105488747272e-05,-0.00011361598462664037,9.527179812566855e-05,0.00013879977646401878,-3.830981824742328
38,97,40,39,47,0.00010610138096877915,0.0003345428102188783,4.868818051359194e-05,-0.00019596210580919893,3.176512941595515e-05,0.00032513539530800567,-2.7584906517811456
38,40,40,39,70,5.3371569527319105e-05,4.599493373354717e-05,-3.0349570846315357e-05,-7.461766882782204e-05,0.0003805933430870442,0.00037499260667377306,-3.300976714134719
38,40,40,77,47,-0.00016053688701308085,0.00012881515251068752,1.8527874223022936e-05,0.00029323043147358343,-1.4177029402821086e-05,0.00026585954179139193,-4.531492286040958
105,79,40,39,47,8.714118638160123e-05,0.0003754167484014237,0.0001537234204664247,-8.634608193890189e-05,-0.00010473314140651305,0.0004252021319040347,-3.9886746642934563
38,55,5,39,47,0.00013322405485856751,0.00037557941139574236,0.0003225011549610276,1.2282670210342667e-05,-0.00021569628308794537,0.0006278910083377348,-3.11096256292599
14,40,40,39,47,7.358328228100955e-05,-1.7441629496210666e-05,0.00010244420427436053,-0.000233914489551267,9.59086944268628e-05,2.0580061934755213e-05,-0.7979742134261952
38,47,39,39,52,-0.00016083003538573069,7.792655997857597e-05,2.994865480447439e-05,-0.0001032067750650295,0.0002810900551969886,0.00012492845952927876,-2.9473425288550863
19,40,40,39,47,0.0003717061333926372,9.239387121562699e-05,-0.0001098623625483336,-2.0727958826403257e-05,2.264922232537026e-05,0.0003561589055588976,-3.716016963388496
53,40,40,39,47,8.468514711703407e-05,4.342575814781951e-05,-7.2143896497429e-06,-7.738235849739912e-05,-3.536228020467399e-05,8.151876913037556e-06,-3.893271479380676
102,47,103,39,47,0.00016372781444180652,7.859204041603111e-05,0.0002642812514195039,-0.0002636828034753636,8.828040363316407e-05,0.00033119870643514193,-4.309416379711422
19,23,40,39,38,0.00028950254604876433,7.370103333578832e-05,0.00010264712697044018,-0.00023352231078822779,0.0001373751491556817,0.0003697035447224467,-5.158867963797681
38,40,40,39,63,2.7719814428832144e-05,1.9300255352653276e-05,-3.133989244490913e-05,-0.00010523017849912438,0.00036303876875792666,0.00027348876759537854,-4.146521209035122
105,40,40,39,47,0.0003772027999337722,6.973979993636638e-05,-0.00010916571344694416,-4.7021698066929994e-05,-4.054757907756971e-06,0.00028670043044850743,-4.703688847050401
38,40,16,39,41,-0.00016032470593745107,0.00012960492386281388,9.848336708083705e-05,8.648057504274934e-05,-0.0001856845414461651,-3.1440381397215903e-05,-4.599510383219319
38,40,40,39,38,-0.00014081024099306806,-0.0001430593363944234,7.72010020122206e-06,4.32816852560422e-05,0.00014868997240153478,-8.417781952869242e-05,-3.8192023508010715
38,105,40,39,99,-0.00010750207402012885,0.00037498953919007486,0.0001334599248623816,-0.00011706133724639507,0.00028135126905179473,0.0005652373218377273,-4.979584247282998
38,22,40,39,77,-3.442707861994826e-05,0.0003731116952975097,-8.576121077925341e-05,4.8855443975529666e-05,0.0003624126992768183,0.0006641915491506561,-4.313988555084566
38,40,40,39,70,5.3371569527319105e-05,4.599493373354717e-05,-3.0349570846315357e-05,-7.461766882782204e-05,0.0003805933430870442,0.00037499260667377306,-5.229630575948204
2,40,40,39,37,0.00018522592494237358,1.1279092910089739e-05,-3.936105488747272e-05,-0.00011361598462664037,9.527179812566855e-05,0.00013879977646401878,-5.0366554273548205
91,59,59,39,47,0.0003085235883906068,0.00037524446933608557,0.00012671168046322746,2.729394001244708e-05,-7.549738199234913e-05,0.0007622762962100178,-4.223687156292546
