Material: 80 µm 49.4%/vol in epoxy, ~3.0 g/cc
================================================================================

 Frequency_GHz  eps1_real  eps1_imag  eps1_magnitude  eps1_phase_deg  eps2_real  eps2_imag  eps2_magnitude  eps2_phase_deg  chi_m_real   chi_m_imag  mu_real      mu_imag  eps1_loss_tangent  eps2_loss_tangent
      0.166810   5.988260   0.387570        6.000789        3.703115   5.818407   0.543949        5.843778        5.340919    6.652777 8.827581e-01 7.652777 8.827581e-01           0.064722           0.093488
      0.183074   5.936320   0.392483        5.949280        3.782635   5.772487   0.563526        5.799928        5.575704    6.649105 1.033866e+00 7.649105 1.033866e+00           0.066116           0.097623
      0.200923   5.885373   0.397318        5.898769        3.862147   5.730878   0.582134        5.760369        5.800127    6.630601 1.198917e+00 7.630601 1.198917e+00           0.067509           0.101579
      0.220513   5.835389   0.402098        5.849226        3.941835   5.693268   0.600020        5.724799        6.016254    6.594679 1.376776e+00 7.594679 1.376776e+00           0.068907           0.105391
      0.242013   5.786338   0.406843        5.800623        4.021904   5.659367   0.617420        5.692947        6.226170    6.538833 1.565857e+00 7.538833 1.565857e+00           0.070311           0.109097
      0.265609   5.738188   0.411578        5.752930        4.102578   5.628910   0.634566        5.664566        6.431995    6.460689 1.764113e+00 7.460689 1.764113e+00           0.071726           0.112733
      0.291505   5.690909   0.416327        5.706117        4.184105   5.601654   0.651690        5.639435        6.635898    6.358075 1.969022e+00 7.358075 1.969022e+00           0.073157           0.116339
      0.319927   5.644467   0.421116        5.660154        4.266759   5.577373   0.669022        5.617355        6.840111    6.229103 2.177567e+00 7.229103 2.177567e+00           0.074607           0.119953
      0.351119   5.598829   0.425975        5.615010        4.350842   5.555858   0.686795        5.598147        7.046949    6.072276 2.386229e+00 7.072276 2.386229e+00           0.076083           0.123616
      0.385353   5.553962   0.430932        5.570655        4.436688   5.536914   0.705252        5.581648        7.258839    5.886625 2.591003e+00 6.886625 2.591003e+00           0.077590           0.127373
      0.422924   5.509829   0.436020        5.527054        4.524666   5.520354   0.724646        5.567713        7.478343    5.671866 2.787450e+00 6.671866 2.787450e+00           0.079135           0.131268
      0.464159   5.466393   0.441274        5.484175        4.615183   5.506001   0.745243        5.556207        7.708198    5.428568 2.970818e+00 6.428568 2.970818e+00           0.080725           0.135351
      0.509414   5.423617   0.446731        5.441984        4.708691   5.493678   0.767330        5.547007        7.951351    5.158304 3.136225e+00 6.158304 3.136225e+00           0.082368           0.139675
      0.559081   5.381458   0.452432        5.400443        4.805689   5.483206   0.791218        5.539998        8.211010    4.863748 3.278913e+00 5.863748 3.278913e+00           0.084072           0.144298
      0.613591   5.339875   0.458420        5.359516        4.906728   5.474399   0.817245        5.535064        8.490695    4.548700 3.394560e+00 5.548700 3.394560e+00           0.085849           0.149285
      0.673415   5.298822   0.464744        5.319163        5.012419   5.467052   0.845788        5.532090        8.794305    4.217993 3.479606e+00 5.217993 3.479606e+00           0.087707           0.154706
      0.739072   5.258249   0.471455        5.279342        5.123441   5.460937   0.877261        5.530951        9.126192    3.877285 3.531561e+00 4.877285 3.531561e+00           0.089660           0.160643
      0.811131   5.218105   0.478608        5.240009        5.240542   5.455782   0.912127        5.531504        9.491239    3.532745 3.549235e+00 4.532745 3.549235e+00           0.091721           0.167185
      0.890215   5.178334   0.486265        5.201115        5.364555   5.451262   0.950904        5.533578        9.894965    3.190663 3.532851e+00 4.190663 3.532851e+00           0.093904           0.174437
      0.977010   5.138872   0.494492        5.162609        5.496403   5.446972   0.994167        5.536955       10.343619    2.857044 3.484017e+00 3.857044 3.484017e+00           0.096226           0.182517
      1.072267   5.099654   0.503360        5.124436        5.637108   5.442395   1.042554        5.541352       10.844300    2.537235 3.405570e+00 3.537235 3.405570e+00           0.098705           0.191562
      1.176812   5.060605   0.512949        5.086536        5.787806   5.436871   1.096765        5.546392       11.405059    2.235636 3.301297e+00 3.235636 3.301297e+00           0.101361           0.201727
      1.291550   5.021643   0.523344        5.048840        5.949755   5.429541   1.157551        5.551562       12.034991    1.955536 3.175612e+00 2.955536 3.175612e+00           0.104218           0.213195
      1.417474   4.982675   0.534637        5.011276        6.124354   5.419287   1.225691        5.556167       12.744279    1.699060 3.033201e+00 2.699060 3.033201e+00           0.107299           0.226172
      1.555676   4.943599   0.546927        4.973761        6.313149   5.404653   1.301947        5.559258       13.544140    1.467230 2.878719e+00 2.467230 2.878719e+00           0.110633           0.240894
      1.707353   4.904297   0.560322        4.936202        6.517855   5.383759   1.386982        5.559549       14.446594    1.260105 2.716529e+00 2.260105 2.716529e+00           0.114251           0.257623
      1.873817   4.864636   0.574939        4.898494        6.740369   5.354203   1.481223        5.555313       15.463930    1.076966 2.550532e+00 2.076966 2.550532e+00           0.118187           0.276647
      2.056512   4.824464   0.590898        4.860516        6.982782   5.312983   1.584644        5.544266       16.607671    0.916512 2.384066e+00 1.916512 2.384066e+00           0.122480           0.298259
      2.257020   4.783604   0.608330        4.822129        7.247395   5.256481   1.696456        5.523455       17.886765    0.777059 2.219864e+00 1.777059 2.219864e+00           0.127170           0.322736
      2.477076   4.741852   0.627369        4.783174        7.536728   5.180556   1.814681        5.489192       19.304688    0.656700 2.060075e+00 1.656700 2.060075e+00           0.132305           0.350287
      2.718588   4.698971   0.648151        4.743462        7.853523   5.080891   1.935644        5.437111       20.855117    0.553444 1.906306e+00 1.553444 1.906306e+00           0.137935           0.380966
      2.983647   4.654685   0.670811        4.702774        8.200738   4.953676   2.053511        5.362445       22.516104    0.465317 1.759693e+00 1.465317 1.759693e+00           0.144115           0.414543
      3.274549   4.608669   0.695476        4.660849        8.581526   4.796732   2.160093        5.260669       24.243275    0.390432 1.620968e+00 1.390432 1.620968e+00           0.150906           0.450326
      3.593814   4.560544   0.722253        4.617382        8.999192   4.610956   2.245305        5.128577       25.963769    0.327037 1.490542e+00 1.327037 1.490542e+00           0.158370           0.486950
      3.944206   4.509869   0.751223        4.572008        9.457109   4.401656   2.298606        4.965699       27.574182    0.273539 1.368564e+00 1.273539 1.368564e+00           0.166573           0.522214
      4.328761   4.456131   0.782416        4.524299        9.958594   4.179024   2.311404        4.775650       28.946837    0.228513 1.254989e+00 1.228513 1.254989e+00           0.175582           0.553097
      4.750810   4.398741   0.815790        4.473750       10.506699   3.956978   2.279742        4.566716       29.947632    0.190703 1.149623e+00 1.190703 1.149623e+00           0.185460           0.576132
      5.214008   4.337030   0.851200        4.419771       11.103923   3.750372   2.205988        4.351054       30.464256    0.159012 1.052170e+00 1.159012 1.052170e+00           0.196263           0.588205
      5.722368   4.270259   0.888353        4.361684       11.751777   3.571561   2.098509        4.142437       30.436830    0.132492 9.622636e-01 1.132492 9.622636e-01           0.208033           0.587561
      6.280291   4.197634   0.926766        4.298723       12.450195   3.427878   1.969394        3.953335       29.878345    0.110328 8.794938e-01 1.110328 8.794938e-01           0.220783           0.574523
      6.892612   4.118346   0.965702        4.230054       13.196744   3.321014   1.831365        3.792497       28.874438    0.091826 8.034272e-01 1.091826 8.034272e-01           0.234488           0.551448
      7.564633   4.031639   1.004126        4.154802       13.985624   3.248102   1.695286        3.663900       27.561461    0.076394 7.336223e-01 1.076394 7.336223e-01           0.249062           0.521931
      8.302176   3.936907   1.040652        4.072124       14.806480   3.203604   1.568923        3.567155       26.092687    0.063534 6.696409e-01 1.063534 6.696409e-01           0.264332           0.489737
      9.111628   3.833832   1.073536        3.981300       15.643125   3.181074   1.456880        3.498818       24.607005    0.052823 6.110562e-01 1.052823 6.110562e-01           0.280017           0.457984
     10.000000   3.722553   1.100719        3.881879       16.472381   3.174366   1.361199        3.453906       23.210124    0.043907 5.574575e-01 1.043907 5.574575e-01           0.295689           0.428810
